id,year,month,day,dep_time,sched_dep_time,arr_time,sched_arr_time,flight,origin,dest,air_time,distance,hour,minute,name,flight_cost
30,2013,1,1,622,630,1017,1014,245,EWR,PHX,342,2133,6,30,US Airways Inc.,7542
31,2013,1,1,623,610,920,915,1837,LGA,MIA,153,1096,6,10,American Airlines Inc.,3272
32,2013,1,1,623,627,933,932,496,LGA,IAH,229,1416,6,27,United Air Lines Inc.,3470
33,2013,1,1,624,630,909,840,4626,EWR,MSP,190,1008,6,30,ExpressJet Airlines Inc.,5270
34,2013,1,1,624,630,840,830,4599,LGA,MSP,166,1020,6,30,Envoy Air,5465
35,2013,1,1,627,630,1018,1018,27,JFK,PHX,330,2153,6,30,US Airways Inc.,9011
36,2013,1,1,628,630,1137,1140,413,JFK,SJU,192,1598,6,30,American Airlines Inc.,4376
37,2013,1,1,628,630,1016,947,1665,EWR,LAX,366,2454,6,30,United Air Lines Inc.,2202
38,2013,1,1,629,630,824,810,303,LGA,ORD,140,733,6,30,American Airlines Inc.,9267
39,2013,1,1,629,630,721,740,4646,LGA,BWI,40,185,6,30,Southwest Airlines Co.,2855
40,2013,1,1,629,630,824,833,1019,EWR,CLT,91,529,6,30,US Airways Inc.,5348
41,2013,1,1,632,608,740,728,4144,EWR,IAD,52,212,6,8,ExpressJet Airlines Inc.,8695
42,2013,1,1,635,635,1028,940,711,LGA,DFW,248,1389,6,35,American Airlines Inc.,3991
43,2013,1,1,637,645,930,935,389,LGA,MCO,144,950,6,45,JetBlue Airways,4045
44,2013,1,1,639,640,739,749,1002,JFK,BOS,41,187,6,40,JetBlue Airways,7392
45,2013,1,1,643,646,922,940,556,EWR,PBI,146,1023,6,46,United Air Lines Inc.,5513
46,2013,1,1,643,645,837,848,926,EWR,CLT,91,529,6,45,US Airways Inc.,4496
47,2013,1,1,644,636,931,940,1701,EWR,FLL,151,1065,6,36,United Air Lines Inc.,4836
48,2013,1,1,645,647,815,810,102,JFK,BUF,63,301,6,47,JetBlue Airways,5974
49,2013,1,1,646,645,910,916,883,LGA,DEN,243,1620,6,45,United Air Lines Inc.,6255
50,2013,1,1,646,645,1023,1030,1496,EWR,SNA,380,2434,6,45,United Air Lines Inc.,7706
51,2013,1,1,651,655,936,942,203,JFK,LAS,323,2248,6,55,JetBlue Airways,8824
52,2013,1,1,652,655,932,921,117,JFK,MSY,191,1182,6,55,JetBlue Airways,9236
53,2013,1,1,653,700,936,1009,1383,LGA,PBI,149,1035,7,0,Delta Air Lines Inc.,1552
54,2013,1,1,655,655,1021,1030,1415,JFK,SLC,294,1990,6,55,Delta Air Lines Inc.,3294
55,2013,1,1,655,700,1037,1045,1865,JFK,SFO,362,2586,7,0,Delta Air Lines Inc.,6130
56,2013,1,1,655,700,1002,1020,2003,LGA,MIA,161,1096,7,0,Delta Air Lines Inc.,4136
57,2013,1,1,656,700,854,850,305,LGA,ORD,143,733,7,0,American Airlines Inc.,3963
58,2013,1,1,656,659,949,959,1815,JFK,MCO,142,944,6,59,American Airlines Inc.,8395
59,2013,1,1,656,705,1007,940,4534,LGA,XNA,233,1147,7,5,Envoy Air,8924
60,2013,1,1,656,700,948,1011,1115,EWR,TPA,156,997,7,0,United Air Lines Inc.,4581
61,2013,1,1,657,700,959,1013,1879,LGA,FLL,164,1076,7,0,Delta Air Lines Inc.,4546
62,2013,1,1,658,700,944,939,1547,LGA,ATL,126,762,7,0,Delta Air Lines Inc.,1385
63,2013,1,1,658,700,1027,1025,399,JFK,LAX,361,2475,7,0,Virgin America,8042
64,2013,1,1,659,700,1008,1015,2279,LGA,MIA,159,1096,7,0,American Airlines Inc.,6087
65,2013,1,1,659,700,1008,1007,981,JFK,FLL,156,1069,7,0,JetBlue Airways,8877
66,2013,1,1,659,705,907,913,831,LGA,DTW,105,502,7,5,Delta Air Lines Inc.,8741
67,2013,1,1,659,700,959,1008,960,EWR,RSW,164,1068,7,0,United Air Lines Inc.,6079
68,2013,1,1,701,700,1123,1154,1203,EWR,SJU,188,1608,7,0,United Air Lines Inc.,1286
69,2013,1,1,702,700,1058,1014,671,JFK,LAX,381,2475,7,0,JetBlue Airways,8165
70,2013,1,1,709,700,852,832,1092,LGA,ORD,135,733,7,0,United Air Lines Inc.,2083
71,2013,1,1,711,715,1151,1206,715,JFK,SJU,190,1598,7,15,JetBlue Airways,2093
72,2013,1,1,712,715,1023,1035,825,JFK,FLL,159,1069,7,15,American Airlines Inc.,4087
73,2013,1,1,715,713,911,850,544,EWR,ORD,156,719,7,13,United Air Lines Inc.,1851
74,2013,1,1,717,720,850,840,850,LGA,MKE,134,738,7,20,AirTran Airways Corporation,9620
75,2013,1,1,719,721,1017,1012,987,JFK,MCO,147,944,7,21,JetBlue Airways,3404
76,2013,1,1,723,725,1013,1017,962,EWR,PBI,153,1023,7,25,United Air Lines Inc.,4233
77,2013,1,1,724,730,1111,1040,715,LGA,DFW,254,1389,7,30,American Airlines Inc.,9453
78,2013,1,1,724,725,1020,1030,11,EWR,SEA,338,2402,7,25,Alaska Airlines Inc.,3971
79,2013,1,1,725,730,1052,1040,2083,EWR,DFW,238,1372,7,30,American Airlines Inc.,5836
80,2013,1,1,727,730,959,952,1162,EWR,DEN,254,1605,7,30,United Air Lines Inc.,8186
81,2013,1,1,728,732,1041,1038,473,LGA,IAH,238,1416,7,32,United Air Lines Inc.,2734
82,2013,1,1,729,730,1049,1115,11,JFK,SFO,356,2586,7,30,Virgin America,1520
83,2013,1,1,732,735,857,858,20,JFK,ROC,64,264,7,35,JetBlue Airways,8475
84,2013,1,1,732,729,1041,1039,1601,LGA,RSW,167,1080,7,29,JetBlue Airways,4839
85,2013,1,1,732,645,1011,941,1111,EWR,MCO,145,937,6,45,United Air Lines Inc.,1355
86,2013,1,1,733,736,854,850,44,JFK,SYR,54,209,7,36,JetBlue Airways,2085
87,2013,1,1,734,737,1047,1113,643,JFK,SFO,350,2586,7,37,JetBlue Airways,9991
88,2013,1,1,739,745,918,930,309,LGA,ORD,137,733,7,45,American Airlines Inc.,6572
89,2013,1,1,739,739,1104,1038,1479,EWR,IAH,249,1400,7,39,United Air Lines Inc.,3756
90,2013,1,1,741,745,1038,1036,983,LGA,TPA,158,1010,7,45,JetBlue Airways,6677
91,2013,1,1,743,730,1107,1100,33,JFK,LAX,358,2475,7,30,American Airlines Inc.,4250
92,2013,1,1,743,749,1043,1054,341,JFK,SRQ,164,1041,7,49,JetBlue Airways,5382
93,2013,1,1,743,730,1059,1056,495,JFK,SEA,349,2422,7,30,Delta Air Lines Inc.,8268
94,2013,1,1,745,745,1135,1125,59,JFK,SFO,378,2586,7,45,American Airlines Inc.,8638
95,2013,1,1,746,746,1119,1129,1668,EWR,SFO,373,2565,7,46,United Air Lines Inc.,2385
96,2013,1,1,749,710,939,850,3737,EWR,ORD,148,719,7,10,Envoy Air,3937
97,2013,1,1,752,755,1041,1059,2263,LGA,MCO,140,950,7,55,Delta Air Lines Inc.,3841
98,2013,1,1,752,750,1025,1029,477,LGA,DEN,249,1620,7,50,United Air Lines Inc.,6720
99,2013,1,1,752,759,955,959,1733,LGA,CLT,96,544,7,59,US Airways Inc.,9465
100,2013,1,1,753,755,1056,1110,2267,LGA,MIA,157,1096,7,55,American Airlines Inc.,6684
101,2013,1,1,754,759,1039,1041,2047,LGA,ATL,126,762,7,59,Delta Air Lines Inc.,8356
102,2013,1,1,754,755,1103,1030,733,LGA,DEN,279,1620,7,55,Southwest Airlines Co.,7724
103,2013,1,1,758,800,1053,1054,517,EWR,MCO,142,937,8,0,JetBlue Airways,8958
104,2013,1,1,759,800,1057,1127,1843,JFK,MIA,158,1089,8,0,Delta Air Lines Inc.,8065
105,2013,1,1,800,800,1022,1014,2119,LGA,MSP,171,1020,8,0,Delta Air Lines Inc.,7179
106,2013,1,1,800,810,949,955,4406,JFK,RDU,80,427,8,10,Envoy Air,2694
107,2013,1,1,801,805,900,919,1172,EWR,BOS,38,200,8,5,JetBlue Airways,7333
108,2013,1,1,803,810,903,925,1838,JFK,BOS,38,187,8,10,American Airlines Inc.,9971
109,2013,1,1,803,800,1132,1144,223,JFK,SFO,369,2586,8,0,United Air Lines Inc.,9156
110,2013,1,1,804,810,1103,1116,1959,JFK,MCO,147,944,8,10,Delta Air Lines Inc.,2077
111,2013,1,1,805,805,1015,1005,219,JFK,CLT,98,541,8,5,JetBlue Airways,7928
112,2013,1,1,805,800,1118,1106,3,JFK,FLL,165,1069,8,0,JetBlue Airways,5022
113,2013,1,1,805,815,1006,1010,4490,LGA,CMH,101,479,8,15,Envoy Air,2146
114,2013,1,1,807,810,1043,1043,269,JFK,ATL,126,760,8,10,Delta Air Lines Inc.,6501
115,2013,1,1,809,815,1043,1050,4388,EWR,JAX,132,820,8,15,ExpressJet Airlines Inc.,7366
116,2013,1,1,810,810,1048,1037,3538,JFK,MSP,189,1029,8,10,Endeavor Air Inc.,7461
117,2013,1,1,810,815,1100,1128,2395,LGA,PBI,149,1035,8,15,Delta Air Lines Inc.,7822
118,2013,1,1,811,815,1006,1032,4260,EWR,CHS,101,628,8,15,ExpressJet Airlines Inc.,4567
119,2013,1,1,811,630,1047,830,4576,LGA,CLT,118,544,6,30,Envoy Air,8193
120,2013,1,1,811,815,1026,1016,675,EWR,CLT,96,529,8,15,US Airways Inc.,8421
121,2013,1,1,812,814,1040,1017,4537,EWR,MEM,180,946,8,14,ExpressJet Airlines Inc.,2218
122,2013,1,1,813,815,1103,1056,914,LGA,DEN,267,1620,8,15,Delta Air Lines Inc.,6294
123,2013,1,1,814,810,1047,1030,346,LGA,ATL,132,762,8,10,AirTran Airways Corporation,9809
124,2013,1,1,817,810,1005,948,1051,JFK,PIT,86,340,8,10,JetBlue Airways,3130
125,2013,1,1,820,820,1254,1310,717,JFK,SJU,190,1598,8,20,JetBlue Airways,7631
126,2013,1,1,820,830,940,954,27,JFK,BOS,36,187,8,30,Delta Air Lines Inc.,7436
127,2013,1,1,820,820,1249,1329,301,JFK,SJU,182,1598,8,20,Delta Air Lines Inc.,9203
128,2013,1,1,821,820,1153,1129,181,JFK,SAN,354,2446,8,20,JetBlue Airways,5362
129,2013,1,1,821,825,932,945,4418,JFK,DCA,52,213,8,25,Envoy Air,7370
130,2013,1,1,822,830,1014,1016,4104,LGA,CLE,91,419,8,30,ExpressJet Airlines Inc.,6196
131,2013,1,1,823,825,1019,1024,487,JFK,CLT,96,541,8,25,US Airways Inc.,6976
132,2013,1,1,823,823,1151,1135,1223,EWR,DFW,250,1372,8,23,United Air Lines Inc.,1684
133,2013,1,1,824,830,1027,1025,1855,LGA,STL,169,888,8,30,American Airlines Inc.,8505
134,2013,1,1,825,827,1058,1105,611,JFK,JAX,130,828,8,27,JetBlue Airways,7751
135,2013,1,1,826,715,1136,1045,443,JFK,MIA,160,1089,7,15,American Airlines Inc.,1686
136,2013,1,1,826,817,1145,1158,1480,EWR,SFO,357,2565,8,17,United Air Lines Inc.,8791
137,2013,1,1,828,830,1027,1012,905,JFK,ORD,160,740,8,30,JetBlue Airways,2169
138,2013,1,1,828,823,1150,1143,1506,EWR,LAX,359,2454,8,23,United Air Lines Inc.,1871
139,2013,1,1,829,830,1152,1200,443,JFK,LAX,360,2475,8,30,United Air Lines Inc.,9278
140,2013,1,1,829,830,1117,1140,1592,EWR,MCO,145,937,8,30,United Air Lines Inc.,1442
141,2013,1,1,830,830,1018,1015,313,LGA,ORD,137,733,8,30,American Airlines Inc.,8890
142,2013,1,1,830,835,1052,1105,4610,LGA,ATL,123,762,8,35,Envoy Air,9140
143,2013,1,1,831,835,1021,1039,4412,EWR,MYR,92,550,8,35,ExpressJet Airlines Inc.,5637
144,2013,1,1,832,840,1006,1030,4521,LGA,RDU,77,431,8,40,Envoy Air,9614
145,2013,1,1,833,835,1134,1102,835,LGA,DEN,257,1620,8,35,Frontier Airlines Inc.,9346
146,2013,1,1,835,835,1210,1150,717,LGA,DFW,249,1389,8,35,American Airlines Inc.,4730
147,2013,1,1,839,850,1027,1035,4558,LGA,CLE,88,419,8,50,Envoy Air,8140
148,2013,1,1,840,845,1311,1350,1357,JFK,SJU,188,1598,8,45,American Airlines Inc.,8285
149,2013,1,1,840,845,1053,1102,2304,JFK,DTW,108,509,8,45,Delta Air Lines Inc.,7251
150,2013,1,1,846,845,1138,1205,553,EWR,RSW,157,1068,8,45,JetBlue Airways,8558
151,2013,1,1,848,1835,1001,1950,3944,JFK,BWI,41,184,18,35,Envoy Air,8305
152,2013,1,1,848,851,1155,1136,1741,EWR,JAC,275,1874,8,51,United Air Lines Inc.,4218
153,2013,1,1,851,851,1032,1036,4548,EWR,RDU,75,416,8,51,ExpressJet Airlines Inc.,4187
154,2013,1,1,851,859,1102,1105,869,EWR,DTW,106,488,8,59,Delta Air Lines Inc.,2576
155,2013,1,1,851,840,1215,1206,1626,EWR,SAN,367,2425,8,40,United Air Lines Inc.,7165
156,2013,1,1,852,855,1046,1020,3848,EWR,MDW,146,711,8,55,Southwest Airlines Co.,7916
157,2013,1,1,853,845,1147,1145,59,JFK,TPA,159,1005,8,45,JetBlue Airways,5124
158,2013,1,1,855,859,1143,1145,1747,LGA,ATL,129,762,8,59,Delta Air Lines Inc.,6201
159,2013,1,1,856,900,1226,1220,1,JFK,LAX,358,2475,9,0,American Airlines Inc.,8200
160,2013,1,1,856,900,1222,1232,2143,LGA,MIA,158,1096,9,0,Delta Air Lines Inc.,4320
161,2013,1,1,856,855,1140,1203,1296,EWR,PBI,150,1023,8,55,United Air Lines Inc.,1949
162,2013,1,1,857,900,1516,1530,51,JFK,HNL,659,4983,9,0,Hawaiian Airlines Inc.,2942
163,2013,1,1,857,905,1107,1120,181,LGA,DTW,110,502,9,5,Delta Air Lines Inc.,9523
164,2013,1,1,857,900,1124,1133,485,EWR,ATL,125,746,9,0,Delta Air Lines Inc.,2430
165,2013,1,1,857,851,1157,1222,1670,EWR,SEA,343,2402,8,51,United Air Lines Inc.,4180
166,2013,1,1,858,900,1102,1110,4478,LGA,DTW,103,502,9,0,Envoy Air,8043
167,2013,1,1,859,900,1140,1204,1885,LGA,MCO,140,950,9,0,Delta Air Lines Inc.,3526
168,2013,1,1,859,900,1223,1225,407,JFK,LAX,359,2475,9,0,Virgin America,3963
169,2013,1,1,900,900,1211,1203,1170,EWR,FLL,161,1065,9,0,United Air Lines Inc.,1602
170,2013,1,1,902,903,1048,1045,580,EWR,ORD,145,719,9,3,United Air Lines Inc.,7956
171,2013,1,1,903,820,1045,955,4655,LGA,BNA,142,764,8,20,Envoy Air,8578
172,2013,1,1,904,906,1207,1226,1401,EWR,MIA,158,1085,9,6,United Air Lines Inc.,3654
173,2013,1,1,905,905,1309,1229,1061,JFK,AUS,263,1521,9,5,JetBlue Airways,8483
174,2013,1,1,906,843,1134,1125,1643,EWR,DEN,246,1605,8,43,United Air Lines Inc.,6033
175,2013,1,1,908,910,1020,1027,56,JFK,BTV,52,266,9,10,JetBlue Airways,8061
176,2013,1,1,908,915,1004,1033,1467,LGA,PHL,32,96,9,15,US Airways Inc.,7102
177,2013,1,1,908,908,1228,1219,1220,EWR,IAH,233,1400,9,8,United Air Lines Inc.,8119
178,2013,1,1,909,810,1331,1315,655,JFK,STT,184,1623,8,10,American Airlines Inc.,4959
179,2013,1,1,912,900,1241,1220,647,JFK,MIA,166,1089,9,0,American Airlines Inc.,9357
180,2013,1,1,912,906,1219,1226,1601,EWR,MIA,159,1085,9,6,United Air Lines Inc.,5325
181,2013,1,1,913,918,1346,1416,1519,EWR,STT,189,1634,9,18,United Air Lines Inc.,4134
182,2013,1,1,914,920,1244,1240,1589,EWR,DFW,238,1372,9,20,American Airlines Inc.,2313
183,2013,1,1,914,900,1058,1043,783,EWR,CLE,85,404,9,0,United Air Lines Inc.,2772
184,2013,1,1,917,920,1313,1245,721,LGA,DFW,258,1389,9,20,American Airlines Inc.,4377
185,2013,1,1,917,915,1206,1211,41,JFK,MCO,145,944,9,15,JetBlue Airways,4463
186,2013,1,1,917,920,1052,1108,1103,JFK,RDU,80,427,9,20,JetBlue Airways,3977
187,2013,1,1,920,905,1039,1025,1305,JFK,IAD,52,228,9,5,JetBlue Airways,6331
188,2013,1,1,920,920,1152,1125,4582,LGA,CLT,92,544,9,20,Envoy Air,4865
189,2013,1,1,921,900,1237,1227,120,JFK,LAX,333,2475,9,0,Delta Air Lines Inc.,6684
190,2013,1,1,923,919,1026,1030,1004,JFK,BOS,38,187,9,19,JetBlue Airways,4017
191,2013,1,1,926,929,1404,1421,215,EWR,SJU,191,1608,9,29,JetBlue Airways,9899
192,2013,1,1,926,922,1221,1219,57,JFK,PBI,151,1028,9,22,JetBlue Airways,7599
193,2013,1,1,926,928,1233,1220,1597,EWR,EGE,287,1726,9,28,United Air Lines Inc.,5352
194,2013,1,1,927,930,1231,1257,1335,LGA,RSW,166,1080,9,30,Delta Air Lines Inc.,4714
195,2013,1,1,929,929,1028,1042,4636,EWR,DCA,43,199,9,29,ExpressJet Airlines Inc.,3722
196,2013,1,1,929,925,1220,1150,766,EWR,DEN,264,1605,9,25,Southwest Airlines Co.,6735
197,2013,1,1,930,905,1218,1209,1148,EWR,TPA,149,997,9,5,United Air Lines Inc.,6591
198,2013,1,1,931,930,1237,1238,375,LGA,FLL,161,1076,9,30,JetBlue Airways,3321
199,2013,1,1,931,930,1121,1108,255,LGA,ORD,154,733,9,30,United Air Lines Inc.,2627
200,2013,1,1,932,930,1219,1225,251,JFK,LAS,324,2248,9,30,Virgin America,1272
201,2013,1,1,933,937,1057,1102,4,JFK,BUF,66,301,9,37,JetBlue Airways,7488
202,2013,1,1,933,904,1252,1210,17,JFK,FLL,170,1069,9,4,JetBlue Airways,8175
203,2013,1,1,933,935,1120,1105,3895,LGA,MDW,145,725,9,35,Southwest Airlines Co.,3170
204,2013,1,1,936,940,1235,1251,2137,LGA,TPA,159,1010,9,40,Delta Air Lines Inc.,5499
205,2013,1,1,936,945,1257,1309,1903,LGA,SRQ,169,1047,9,45,Delta Air Lines Inc.,5289
206,2013,1,1,937,940,1238,1235,361,LGA,PBI,154,1035,9,40,JetBlue Airways,9779
207,2013,1,1,937,940,1127,1120,1807,LGA,MKE,143,738,9,40,Southwest Airlines Co.,2526
208,2013,1,1,940,945,1119,1130,319,LGA,ORD,133,733,9,45,American Airlines Inc.,2283
209,2013,1,1,940,955,1226,1220,4654,LGA,ATL,129,762,9,55,Envoy Air,9350
210,2013,1,1,941,945,1300,1258,679,JFK,LAX,352,2475,9,45,JetBlue Airways,6385
211,2013,1,1,946,959,1146,1202,4175,EWR,AVL,105,583,9,59,ExpressJet Airlines Inc.,3787
212,2013,1,1,947,953,1053,1110,600,JFK,PWM,47,273,9,53,JetBlue Airways,7199
213,2013,1,1,950,954,1155,1142,4681,EWR,STL,170,872,9,54,ExpressJet Airlines Inc.,9227
214,2013,1,1,953,959,1141,1129,4670,LGA,BNA,144,764,9,59,Envoy Air,7413
215,2013,1,1,953,921,1320,1241,222,EWR,LAX,346,2454,9,21,United Air Lines Inc.,9329
216,2013,1,1,955,1000,1336,1325,75,EWR,PHX,324,2133,10,0,US Airways Inc.,1604
217,2013,1,1,956,1000,1241,1241,1847,LGA,ATL,129,762,10,0,Delta Air Lines Inc.,8179
218,2013,1,1,957,733,1056,853,856,EWR,BOS,37,200,7,33,United Air Lines Inc.,3079
219,2013,1,1,959,1002,1313,1319,2379,LGA,FLL,151,1076,10,2,Delta Air Lines Inc.,2619
220,2013,1,1,959,1000,1151,1206,1177,LGA,CLT,90,544,10,0,US Airways Inc.,4272
221,2013,1,1,1003,1010,1255,1320,503,EWR,FLL,152,1065,10,10,JetBlue Airways,2739
222,2013,1,1,1003,959,1408,1329,196,JFK,PHX,342,2153,9,59,US Airways Inc.,7272
223,2013,1,1,1005,1000,1239,1234,1625,EWR,DEN,254,1605,10,0,United Air Lines Inc.,7382
224,2013,1,1,1007,1010,1147,1140,3795,EWR,ORD,131,719,10,10,Envoy Air,7805
225,2013,1,1,1009,1015,1219,1229,2319,LGA,MSP,160,1020,10,15,Delta Air Lines Inc.,3134
226,2013,1,1,1010,1015,1204,1210,1103,EWR,CLT,90,529,10,15,US Airways Inc.,7682
227,2013,1,1,1010,1015,1225,1214,1441,JFK,CLT,97,541,10,15,US Airways Inc.,4332
228,2013,1,1,1011,1001,1133,1128,5736,LGA,IAD,59,229,10,1,ExpressJet Airlines Inc.,6652
229,2013,1,1,1011,1015,1246,1307,1529,JFK,LAS,320,2248,10,15,Delta Air Lines Inc.,4984
230,2013,1,1,1021,1023,1254,1252,347,LGA,ATL,129,762,10,23,AirTran Airways Corporation,5374
231,2013,1,1,1024,1029,1140,1150,4709,EWR,BUF,59,282,10,29,ExpressJet Airlines Inc.,3470
232,2013,1,1,1024,1030,1204,1215,4471,LGA,RDU,78,431,10,30,Envoy Air,2724
233,2013,1,1,1025,1020,1356,1330,731,LGA,DFW,247,1389,10,20,American Airlines Inc.,6308
234,2013,1,1,1025,951,1258,1302,501,EWR,MCO,137,937,9,51,United Air Lines Inc.,4537
235,2013,1,1,1026,1030,1351,1340,19,JFK,LAX,356,2475,10,30,American Airlines Inc.,4925
236,2013,1,1,1028,1026,1350,1339,1004,LGA,IAH,237,1416,10,26,United Air Lines Inc.,9818
237,2013,1,1,1029,1030,1427,1355,179,JFK,SFO,389,2586,10,30,American Airlines Inc.,8783
238,2013,1,1,1030,1035,1229,1246,4277,EWR,CHS,100,628,10,35,ExpressJet Airlines Inc.,4401
239,2013,1,1,1031,1030,1353,1415,23,JFK,SFO,363,2586,10,30,Virgin America,4115
240,2013,1,1,1031,1030,1323,1334,1294,EWR,FLL,157,1065,10,30,United Air Lines Inc.,4097
241,2013,1,1,1032,1035,1305,1250,4180,EWR,IND,135,645,10,35,ExpressJet Airlines Inc.,1581
242,2013,1,1,1033,1017,1130,1136,779,EWR,BOS,42,200,10,17,United Air Lines Inc.,5446
243,2013,1,1,1037,1030,1221,1210,321,LGA,ORD,133,733,10,30,American Airlines Inc.,9033
244,2013,1,1,1038,1030,1223,1202,985,EWR,ORD,149,719,10,30,United Air Lines Inc.,5197
245,2013,1,1,1042,1040,1325,1326,31,JFK,MCO,142,944,10,40,JetBlue Airways,7580
246,2013,1,1,1044,1045,1231,1212,4322,EWR,MKE,151,725,10,45,ExpressJet Airlines Inc.,3370
247,2013,1,1,1044,1045,1352,1351,455,EWR,IAH,229,1400,10,45,United Air Lines Inc.,5485
248,2013,1,1,1044,1041,1339,1350,1060,EWR,RSW,157,1068,10,41,United Air Lines Inc.,5853
249,2013,1,1,1047,1055,1359,1405,739,LGA,DFW,230,1389,10,55,American Airlines Inc.,6114
250,2013,1,1,1047,1050,1401,1410,1275,JFK,SLC,295,1990,10,50,Delta Air Lines Inc.,2424
251,2013,1,1,1048,1050,1302,1250,4589,LGA,DTW,112,502,10,50,Envoy Air,6644
252,2013,1,1,1053,1050,1402,1358,373,LGA,FLL,165,1076,10,50,JetBlue Airways,2538
253,2013,1,1,1054,1059,1326,1339,1647,LGA,ATL,129,762,10,59,Delta Air Lines Inc.,1840
254,2013,1,1,1056,1059,1203,1209,4479,EWR,PWM,51,284,10,59,ExpressJet Airlines Inc.,7228
255,2013,1,1,1056,1100,1407,1413,2185,LGA,TPA,158,1010,11,0,Delta Air Lines Inc.,4675
256,2013,1,1,1058,1100,1210,1216,2171,LGA,DCA,50,214,11,0,US Airways Inc.,7316
257,2013,1,1,1059,1100,1201,1215,321,LGA,BWI,43,185,11,0,Southwest Airlines Co.,1905
258,2013,1,1,1059,1100,1210,1215,3792,JFK,DCA,50,213,11,0,Envoy Air,5995
259,2013,1,1,1059,1053,1342,1351,369,EWR,LAS,325,2227,10,53,United Air Lines Inc.,7499
260,2013,1,1,1101,1043,1345,1332,545,EWR,PBI,145,1023,10,43,JetBlue Airways,7776
261,2013,1,1,1103,1100,1410,1421,2071,LGA,MIA,155,1096,11,0,Delta Air Lines Inc.,6856
262,2013,1,1,1105,1047,1428,1405,688,EWR,SFO,356,2565,10,47,United Air Lines Inc.,4798
263,2013,1,1,1107,1115,1305,1310,4485,LGA,CMH,95,479,11,15,Envoy Air,3171
264,2013,1,1,1109,1115,1402,1425,2099,LGA,MIA,157,1096,11,15,American Airlines Inc.,6059
265,2013,1,1,1111,1115,1222,1226,24,JFK,BTV,52,266,11,15,JetBlue Airways,9839
266,2013,1,1,1112,1100,1440,1438,285,JFK,SFO,364,2586,11,0,United Air Lines Inc.,3229
267,2013,1,1,1113,1115,1318,1315,1031,LGA,DTW,104,502,11,15,Delta Air Lines Inc.,4742
268,2013,1,1,1114,900,1447,1222,1086,LGA,IAH,248,1416,9,0,United Air Lines Inc.,2057
